,tfidf
좋다,0.48545866683534067
회사,0.34285210313096925
많다,0.3013047268728787
업무,0.26340445125903333
복지,0.24684464292840647
기업,0.183513233092527
직원,0.17271978659131487
연봉,0.16554879816242735
문화,0.16525308729938043
분위기,0.16217276580930848
부서,0.12276929330830798
근무,0.11168013594404894
대기업,0.10961015990272058
높다,0.09334606243514064
연차,0.08043335474875898
자유롭다,0.07897944300544502
야근,0.07745160354636933
사업,0.07543091264888212
환경,0.07397700090556816
대한,0.07237523373073074
수평,0.07104453484701966
매우,0.0681613539323123
체계,0.066436373897872
힘들다,0.06579566702793703
다양하다,0.06508103244224034
강도,0.060571441780775
조직,0.05931467061282564
눈치,0.05882181917441412
필요하다,0.05482972252328086
보고,0.05399187507798129
사용,0.05394258993414014
경험,0.0534743810676492
다르다,0.05320331277652287
기회,0.05317867020460229
최고,0.05253796333466733
괜찮다,0.05211903961201754
낮다,0.05034477443373609
장점,0.04918657355346903
사내,0.0487183646869781
개발,0.04852122411161349
시스템,0.04620482235107938
수준,0.0461801797791588
느낌,0.04583518377227074
단점,0.04558875805306499
급여,0.04447984231663908
심하다,0.0441594888816716
개발자,0.04322307114868972
개인,0.04287807514180166
출퇴근,0.04282878999796051
개선,0.04248379399107245
가능,0.04043846052166467
성장,0.03945275764484164
노력,0.0386888379153038
안정,0.03866419534338322
그렇다,0.03792491818576595
발전,0.03716099845622811
편하다,0.03716099845622811
업계,0.037062428168545804
부분,0.037062428168545804
지원,0.03661886187397544
정말,0.03642172129861084
계약,0.03629850843900796
자유,0.03617529557940508
가능하다,0.035017094699138024
보상,0.03496780955529687
별로,0.034622813548408814
퇴근,0.03408067696615615
자율,0.03378496610310924
구조,0.033760323531188664
나쁘다,0.033637110671585785
제도,0.03238033950363643
교육,0.032355696931715854
성과,0.032331054359795275
젊다,0.03213391378443067
평가,0.031887488065224914
보수,0.031493206914495704
필요,0.031271423767210524
능력,0.031222138623369373
안되다,0.030926427760322464
계속,0.02994072488349944
비교,0.029916082311578863
라벨,0.02986679716773771
정규직,0.02981751202389656
인턴,0.029743584308134834
성장하다,0.029398588301246774
휴가,0.02930001801356447
효율,0.028708596287470654
대우,0.028314315136741444
영진,0.02816645970521799
인력,0.027747535982568204
본인,0.027747535982568204
제공,0.02730396968799784
관리,0.02713147168455381
어렵다,0.02698361625303036
직장,0.02695897368110978
경력,0.02686040339342748
대비,0.026589335102301145
신경,0.02612112623581021
인하다,0.025850057944683875
위해,0.025628274797398695
글로벌,0.02555434708163697
진행,0.025505061937795816
기술,0.025455776793954665
신입,0.02543113422203409
수직,0.025357206506272364
경쟁,0.02533256393435179
추천,0.025110780787066606
새롭다,0.02456864420481394
차이,0.024544001632893366
국내,0.02447007391713164
인사,0.02407579276640243
사원,0.0240018650506407
빠르다,0.023804724475276096
나름,0.02350901361222919
삼성,0.02348437104030861
미래,0.02343508589646746
변화,0.02333651560878516
힘드다,0.022942234458055946
존재,0.022720451310770766
투자,0.02269580873885019
무량,0.022621881023088465
출근,0.02240009787580328
확실하다,0.02225224244427983
퇴사,0.022030459296994646
혜택,0.02200581672507407
고객,0.021981174153153496
대부분,0.021882603865471195
소통,0.021291182139377376
굉장하다,0.0211679692797745
부족하다,0.020847615844807016
딱하다,0.020798330700965866
경영,0.020724402985204136
프로세스,0.020724402985204136
자부심,0.020330121834474926
보장,0.020231551546792625
프로젝트,0.020157623831030896
크게,0.019837270396063412
성과급,0.01961548724877823
