,tfidf
회사,0.4350085044466408
업무,0.3342058437454283
복지,0.3131948673213542
기업,0.23284038903285662
직원,0.2191457347564512
연봉,0.21004723157281197
문화,0.20967203556523922
분위기,0.20576374381968973
부서,0.1557688758106206
근무,0.14169902552664243
대기업,0.13907265347363318
연차,0.10205331405978837
야근,0.09827008765009645
사업,0.09570624826501599
환경,0.09386153456111664
대한,0.0918292228534309
수평,0.09014084081935352
매우,0.08648267974551918
체계,0.08429403636801147
강도,0.07685264888448523
조직,0.07525806585230105
눈치,0.07463273917301312
보고,0.06850453771599152
사용,0.06844200504806272
경험,0.06784794470273921
기회,0.06747274869516645
최고,0.06665982401209215
장점,0.06240760259293431
사내,0.061813542247610785
개발,0.06156341157589562
시스템,0.0586243761832424
수준,0.058593109849278006
느낌,0.05815538117377646
단점,0.0578427178341325
급여,0.05643573280573468
개발자,0.05484114977355049
개인,0.054403421098048944
출퇴근,0.05434088843012015
개선,0.05390315975461861
가능,0.05130805403557375
성장,0.05005740067699791
노력,0.049088144324101635
안정,0.04905687799013724
발전,0.04714963161830909
부분,0.0470245662824515
업계,0.0470245662824515
지원,0.046461772271092376
정말,0.046211641599377205
계약,0.04605530992955523
자유,0.04589897825973325
보상,0.044366927895477845
별로,0.0439291992199763
퇴근,0.04324133987275959
자율,0.04286614386518684
구조,0.04283487753122245
제도,0.041083962829216274
교육,0.04105269649525188
성과,0.04102143016128748
평가,0.040458636149928354
보수,0.03995837480649802
필요,0.039676977800818455
능력,0.03961444513288966
계속,0.03798859576674107
비교,0.03795732943277668
라벨,0.03789479676484789
정규직,0.037832264096919095
인턴,0.03773846509502591
휴가,0.03717567108366678
효율,0.03642527906852128
대우,0.03592501772509094
영진,0.035737419721304564
본인,0.03520589204390984
인력,0.03520589204390984
제공,0.03464309803255071
관리,0.03442423369479994
직장,0.03420536935704917
경력,0.03408030402119158
대비,0.033736374347583226
신경,0.033142314002259705
위해,0.032516987322971785
글로벌,0.0324231883210786
진행,0.03236065565314981
기술,0.032298122985221014
신입,0.032266856651256615
수직,0.03217305764936343
경쟁,0.032141791315399036
추천,0.03186039430971947
차이,0.031141268628538363
국내,0.031047469626645174
인사,0.03054720828321484
사원,0.03045340928132165
나름,0.029828082602033734
삼성,0.029796816268069338
미래,0.029734283600140545
변화,0.02960921826428296
존재,0.02882755991517306
투자,0.028796293581208665
무량,0.02870249457931548
출근,0.028421097573635916
퇴사,0.027952102564169978
혜택,0.02792083623020558
고객,0.027889569896241185
대부분,0.0277645045603836
소통,0.027014112545238098
경영,0.026294986864056992
프로세스,0.026294986864056992
자부심,0.025794725520626657
보장,0.025669660184769072
프로젝트,0.025575861182875883
크게,0.025169398841338737
성과급,0.024888001835659174
모든,0.02476293649980159
운영,0.0247004038318728
승진,0.02438774049222884
월급,0.024325207824300046
서비스,0.02429394149033565
기본,0.02420014248844246
커리어,0.023793680146905315
안보,0.02376241381294092
군대,0.023637348477083337
가능성,0.023637348477083337
스트레스,0.02360608214311894
자체,0.023387217805368166
내부,0.023230886135546188
부바,0.023105820799688603
입사,0.022855690127973435
임원,0.022793157460044646
어려움,0.022636825790222664
보임,0.02254302678832948
최근,0.0223554287845431
불만,0.02213656444679233
점점,0.02198023277697035
구성원,0.021855167441112766
영업,0.0216050367693976
역량,0.021542504101468806
제대로,0.021386172431646828
신규,0.021386172431646828
작업,0.021323639763718035
위치,0.021323639763718035
그룹,0.02104224275803847
합리,0.021010976424074075
인원,0.02097971009010968
가장,0.020698313084430115
이미지,0.02060451408253693
의견,0.02041691607875055
규모,0.0200729864051422
직급,0.019854122067391428
해외,0.01966652406360505
관련,0.01966652406360505
이직,0.019603991395676257
생활,0.019603991395676257
복리,0.01935386072396109
적극,0.0192913280560323
로움,0.019103730052245922
수당,0.019009931050352737
