,tfidf
좋다,0.56673872558614
회사,0.37690632944954355
많다,0.3345621338969002
복지,0.2508051717970016
업무,0.20140361031891776
기업,0.18395722856414848
직원,0.17267260792194658
연봉,0.16830205643512552
문화,0.13050753333187787
대기업,0.13050753333187787
분위기,0.1276057737381688
근무,0.0959013633624587
연차,0.08142838958642833
높다,0.07838333322265956
힘들다,0.06982135121159208
부서,0.06645387711518898
눈치,0.06537915133974118
자유롭다,0.06254904013106197
계약,0.06194002885830822
급여,0.06061453373525593
사업,0.05910991764962901
야근,0.05803519187418121
체계,0.05653057578855429
최고,0.05549167420562142
대한,0.05287650815203177
생산,0.04936573728556896
보고,0.0492940889005391
강도,0.04739540669724799
환경,0.04424287775593444
필요하다,0.04349056971312098
경험,0.043024855210426934
다양하다,0.04238001974515825
괜찮다,0.04180683266491943
장점,0.04148441493228509
개발,0.040624634311926845
조직,0.039370787573904414
월급,0.03886924887869544
정규직,0.03861847953109095
퇴근,0.036863094097859546
낮다,0.036433203787680425
단점,0.036254082825105796
시스템,0.035895840899956524
사용,0.03543012639726248
대우,0.035286829627202775
기회,0.03292243292121761
그렇다,0.032564190996068346
정말,0.03227759745594893
개선,0.032134300685889225
편하다,0.032026828108344445
성과,0.03199100391582952
글로벌,0.03134616845056084
느낌,0.03080880556283694
다르다,0.030522212022717526
발전,0.030128145905053333
젊다,0.030092321712538405
출퇴근,0.02919671689966524
안정,0.02908924432212046
심하다,0.02898177174457568
딱하다,0.02865935401194134
가능,0.028372760471821926
매우,0.028336936279306998
수평,0.028265287894277145
개발자,0.028086166931702513
별로,0.028050342739187585
수준,0.027512979851463684
사내,0.02711891373379949
미래,0.02693979277122486
퇴사,0.026760671808650226
노조,0.02668902342362037
라벨,0.026187484728411398
신입,0.026151660535896473
보상,0.026044187958351693
직장,0.025900891188291985
업계,0.025506825070627792
휴가,0.0251127589529636
신경,0.02500528637541882
영진,0.02496946218290389
가능하다,0.02486198960535911
국내,0.02479034122032926
개인,0.02475451702781433
자부심,0.02468286864278448
성과급,0.024611220257754626
교육,0.02443209929517999
노력,0.02421715414009043
성장,0.02410968156254565
군대,0.023966384792485945
필요,0.023966384792485945
맛있다,0.023715615444881457
효율,0.023643967059851605
투자,0.023536494482306825
힘드다,0.023536494482306825
지원,0.023536494482306825
자유,0.023357373519732192
안되다,0.023321549327217264
위해,0.023249900942187412
보수,0.02264088966943366
안보,0.0224259445143441
나쁘다,0.02185275743410527
사원,0.021781109049075417
부분,0.02174528485656049
추천,0.021530339701470932
야하다,0.020813855851172396
성장하다,0.02070638327362762
제공,0.02067055908111269
능력,0.02049143811853806
영업,0.020312317155963423
계속,0.020276492963448498
관리,0.02024066877093357
삼성,0.020204844578418642
제도,0.02002572361584401
빠르다,0.01991825103829923
기술,0.019416712343090257
보장,0.01927341557303055
나름,0.019130118802970844
혜택,0.019058470417940992
자동차,0.018986822032911136
인력,0.018986822032911136
아르바이트,0.018807701070336504
교대,0.01873605268530665
임원,0.018664404300276796
경쟁,0.01852110753021709
비교,0.01852110753021709
프로세스,0.01841363495267231
확실하다,0.01834198656764246
어렵다,0.018162865605067822
인사,0.018055393027523042
스트레스,0.018019568835008118
출근,0.017912096257463338
기본,0.01776879948740363
채용,0.01776879948740363
변화,0.017732975294888702
이미지,0.017589678524828997
수직,0.017374733369739437
경력,0.017374733369739437
