,cluster,perplexity_score
0,3,-13.542326150267408
1,4,-14.005187029290994
2,5,-14.423885533339478
3,6,-15.041833145233625
4,7,-15.522118430530382
5,8,-16.15866605470461
6,9,-16.805540311427016
7,10,-17.387919168567038
