,cluster,coherence_score
0,3,-4.906585461676554
1,4,-8.049178884051596
2,5,-7.855089696318345
3,6,-12.887245991323558
4,7,-12.145367671310513
5,8,-12.528026984990541
6,9,-12.289147882597089
7,10,-14.592299706675897
