,cluster,perplexity_score
0,3,-12.823741514718112
1,4,-13.149340249799913
2,5,-13.673594166503309
3,6,-14.361438357082497
4,7,-15.172167942095939
5,8,-16.259082029820377
6,9,-17.066465394960254
7,10,-17.805650905841393
